iter	seq	start	end	strand	locus_tag	com_id	type	description
1046	CP037923.1	1085268	1086549	1	EKN05_005365	wcaK	CDS	colanic acid biosynthesis pyruvyl transferase WcaK
1047	CP037923.1	1086545	1087766	1	EKN05_005370	wcaL	CDS	colanic acid biosynthesis glycosyltransferase WcaL
1048	CP037923.1	1087776	1089171	1	EKN05_005375	wcaM	pseudo	colanic acid biosynthesis protein WcaM
1049	CP037923.1	1089345	1090239	1	EKN05_005380	galF	CDS	UTP--glucose-1-phosphate uridylyltransferase GalF
1050	CP037923.1	1090611	1091697	1	EKN05_005385	rfbB	CDS	dTDP-glucose 4
1051	CP037923.1	1091696	1092596	1	EKN05_005390	rfbD	CDS	dTDP-4-dehydrorhamnose reductase
1052	CP037923.1	1092654	1093533	1	EKN05_005395	rfbA	CDS	glucose-1-phosphate thymidylyltransferase RfbA
1053	CP037923.1	1093537	1094083	1	EKN05_005400	rfbC	CDS	dTDP-4-dehydrorhamnose 3
1054	CP037923.1	1094098	1095355	1	EKN05_005405	wzx	CDS	O13/O129/O135 family O-antigen flippase
1055	CP037923.1	1095384	1096275	1	EKN05_005410	rfbF	CDS	rhamnosyltransferase
1056	CP037923.1	1096303	1097173	1	EKN05_005415	rfbG	CDS	glycosyltransferase
1057	CP037923.1	1097192	1098341	1	EKN05_005420	wzy	CDS	O13/O129/O135 family O-antigen polymerase
1058	CP037923.1	1098344	1098719	1	EKN05_005425	EKN05_005425	CDS	bactoprenol-linked glucose translocase
1059	CP037923.1	1098781	1099720	1	EKN05_005430	EKN05_005430	pseudo	glycosyltransferase
1060	CP037923.1	1099891	1100491	1	EKN05_005435	EKN05_005435	CDS	hypothetical protein
1061	CP037923.1	1100591	1101143	1	EKN05_005440	EKN05_005440	CDS	hypothetical protein
1062	CP037923.1	1101139	1101499	1	EKN05_005445	EKN05_005445	CDS	hypothetical protein
1063	CP037923.1	1101607	1103014	1	EKN05_005450	gndA	CDS	NADP-dependent phosphogluconate dehydrogenase
1064	CP037923.1	1103263	1104384	1	EKN05_005455	EKN05_005455	pseudo	UDP-glucose 6-dehydrogenase
1065	CP037923.1	1104529	1105507	1	EKN05_005460	wzzB	CDS	LPS O-antigen chain length determinant protein WzzB
1066	CP037923.1	1105692	1106304	-1	EKN05_005465	hisI	CDS	bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase HisIE
1067	CP037923.1	1106297	1107074	-1	EKN05_005470	hisF	CDS	imidazole glycerol phosphate synthase subunit HisF
1068	CP037923.1	1107055	1107793	-1	EKN05_005475	hisA	CDS	1-(5-phosphoribosyl)-5-((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase
1069	CP037923.1	1107792	1108383	-1	EKN05_005480	hisH	CDS	imidazole glycerol phosphate synthase subunit HisH
1070	CP037923.1	1108382	1109450	-1	EKN05_005485	hisB	CDS	bifunctional histidinol-phosphatase/imidazoleglycerol-phosphate dehydratase HisB
1071	CP037923.1	1109449	1110520	-1	EKN05_005490	hisC	CDS	histidinol-phosphate transaminase
1072	CP037923.1	1110516	1111821	-1	EKN05_005495	hisD	CDS	histidinol dehydrogenase
1073	CP037923.1	1111826	1112726	-1	EKN05_005500	hisG	CDS	ATP phosphoribosyltransferase
1074	CP037923.1	1112871	1112913	-1	EKN05_005505	EKN05_005505	CDS	his operon leader peptide
1075	CP037923.1	1112927	1113137	1	EKN05_005510	EKN05_005510	pseudo	hypothetical protein
1076	CP037923.1	1113195	1113468	1	EKN05_005515	yefM	CDS	YoeB-YefM toxin-antitoxin system antitoxin YefM
1077	CP037923.1	1113501	1114199	1	EKN05_005520	EKN05_005520	pseudo	IS1 family transposase
1078	CP037923.1	1114220	1114475	1	EKN05_005525	EKN05_005525	CDS	Txe/YoeB family addiction module toxin
1079	CP037923.1	1114557	1115382	1	EKN05_005530	EKN05_005530	CDS	SDR family oxidoreductase
1080	CP037923.1	1115427	1116441	1	EKN05_005535	yeeY	CDS	LysR family transcriptional regulator
1081	CP037923.1	1116570	1116633	1	EKN05_005540	yoeI	CDS	membrane protein YoeI
1082	CP037923.1	1116622	1117981	1	EKN05_005545	plaP	CDS	putrescine/proton symporter PlaP
1083	CP037923.1	1118159	1119218	1	EKN05_005550	yeeE	CDS	YeeE/YedE family protein
1084	CP037923.1	1119231	1119459	1	EKN05_005555	EKN05_005555	CDS	hypothetical protein
1085	CP037923.1	1119501	1120926	-1	EKN05_005560	sbcB	CDS	exodeoxyribonuclease I
1086	CP037923.1	1121107	1121944	1	EKN05_005565	EKN05_005565	pseudo	DUF4102 domain-containing protein
1087	CP037923.1	1122025	1122529	1	EKN05_005570	EKN05_005570	pseudo	IS66 family insertion sequence element accessory protein TnpB
1088	CP037923.1	1122530	1123660	-1	EKN05_005575	EKN05_005575	pseudo	IS3 family transposase
1089	CP037923.1	1123949	1124792	1	EKN05_005580	EKN05_005580	CDS	hypothetical protein
1090	CP037923.1	1124898	1125162	1	EKN05_005585	EKN05_005585	pseudo	integrase
1091	CP037923.1	1125493	1125637	1	EKN05_005590	EKN05_005590	pseudo	cobalamin biosynthesis protein
1092	CP037923.1	1125788	1126334	1	EKN05_005595	cobU	CDS	bifunctional adenosylcobinamide kinase/adenosylcobinamide-phosphate guanylyltransferase
1093	CP037923.1	1126330	1127074	1	EKN05_005600	cobS	CDS	adenosylcobinamide-GDP ribazoletransferase
1094	CP037923.1	1127085	1128165	1	EKN05_005605	cobT	CDS	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
1095	CP037923.1	1128226	1129162	1	EKN05_005610	ldtA	CDS	L
1096	CP037923.1	1129621	1130539	1	EKN05_005620	nac	CDS	nitrogen assimilation transcriptional regulator
1097	CP037923.1	1130640	1131591	1	EKN05_005625	cbl	CDS	HTH-type transcriptional regulator Cbl
1098	CP037923.1	1131708	1133336	1	EKN05_005635	yeeO	pseudo	toxic metabolite efflux MATE transporter YeeO
1099	CP037923.1	1133967	1134684	-1	EKN05_005645	EKN05_005645	CDS	YebC/PmpR family DNA-binding transcriptional regulator
1100	CP037923.1	1135026	1136481	-1	EKN05_005650	amn	CDS	AMP nucleosidase
1101	CP037923.1	1136582	1136798	-1	EKN05_005655	EKN05_005655	pseudo	hypothetical protein
1102	CP037923.1	1136832	1137989	-1	EKN05_005660	EKN05_005660	CDS	IS3 family transposase
1103	CP037923.1	1138050	1138554	-1	EKN05_005665	EKN05_005665	CDS	serine transporter
1104	CP037923.1	1138582	1139784	1	EKN05_005670	EKN05_005670	CDS	IS3 family transposase
1105	CP037923.1	1139890	1141153	-1	EKN05_005675	EKN05_005675	pseudo	DUF4102 domain-containing protein
1106	CP037923.1	1141490	1142288	-1	EKN05_005685	mtfA	CDS	DgsA anti-repressor MtfA
1107	CP037923.1	1142498	1143536	-1	EKN05_005695	EKN05_005695	CDS	integrase
1108	CP037923.1	1143535	1143712	-1	EKN05_005700	EKN05_005700	CDS	DUF4224 domain-containing protein
1109	CP037923.1	1143744	1144442	1	EKN05_005705	EKN05_005705	pseudo	IS1 family transposase
1110	CP037923.1	1144573	1144888	-1	EKN05_005710	EKN05_005710	CDS	3'-5' exoribonuclease
1111	CP037923.1	1144917	1145615	-1	EKN05_005715	EKN05_005715	pseudo	IS1 family transposase
1112	CP037923.1	1145685	1146102	1	EKN05_005720	EKN05_005720	CDS	hypothetical protein
1113	CP037923.1	1146314	1146494	1	EKN05_005725	EKN05_005725	CDS	hypothetical protein
1114	CP037923.1	1146468	1146652	-1	EKN05_005730	EKN05_005730	pseudo	hypothetical protein
1115	CP037923.1	1146696	1146909	1	EKN05_005735	EKN05_005735	CDS	type I toxin-antitoxin system Hok family toxin
1116	CP037923.1	1146950	1147136	-1	EKN05_005740	EKN05_005740	CDS	hypothetical protein
1117	CP037923.1	1147076	1147355	1	EKN05_005745	EKN05_005745	CDS	hypothetical protein
1118	CP037923.1	1147356	1148415	1	EKN05_005750	EKN05_005750	pseudo	DUF968 domain-containing protein
1119	CP037923.1	1148415	1148781	1	EKN05_005755	EKN05_005755	CDS	RusA family crossover junction endodeoxyribonuclease
1120	CP037923.1	1148777	1149632	1	EKN05_005760	EKN05_005760	pseudo	antiterminator
1121	CP037923.1	1150260	1150476	1	EKN05_005785	EKN05_005785	CDS	holin
1122	CP037923.1	1150574	1151249	1	EKN05_005790	EKN05_005790	CDS	IS66 family insertion sequence hypothetical protein
1123	CP037923.1	1151245	1151596	1	EKN05_005795	tnpB	CDS	IS66 family insertion sequence element accessory protein TnpB
1124	CP037923.1	1151592	1152405	1	EKN05_005800	EKN05_005800	pseudo	IS66 family transposase
1125	CP037923.1	1152470	1153627	1	EKN05_005805	EKN05_005805	CDS	IS3 family transposase
1126	CP037923.1	1153619	1154147	1	EKN05_005810	EKN05_005810	CDS	DUF4376 domain-containing protein
1127	CP037923.1	1154146	1154326	1	EKN05_005815	EKN05_005815	CDS	hypothetical protein
1128	CP037923.1	1154326	1155970	-1	EKN05_005820	EKN05_005820	CDS	E3 ubiquitin--protein ligase
1129	CP037923.1	1156285	1156954	-1	EKN05_005825	EKN05_005825	CDS	class I SAM-dependent methyltransferase
1130	CP037923.1	1157010	1157280	1	EKN05_005830	EKN05_005830	CDS	tail fiber assembly protein
1131	CP037923.1	1157252	1157432	1	EKN05_005835	EKN05_005835	CDS	hypothetical protein
1132	CP037923.1	1158357	1159008	-1	EKN05_005840	zinT	CDS	metal-binding protein ZinT
1133	CP037923.1	1159265	1159901	-1	EKN05_005845	msrQ	CDS	protein-methionine-sulfoxide reductase heme-binding subunit MsrQ
1134	CP037923.1	1159901	1160906	-1	EKN05_005850	msrP	pseudo	protein-methionine-sulfoxide reductase catalytic subunit MsrP
1135	CP037923.1	1161014	1161428	-1	EKN05_005855	hiuH	CDS	hydroxyisourate hydrolase
1136	CP037923.1	1161560	1162232	1	EKN05_005860	hprR	CDS	DNA-binding response regulator HprR
1137	CP037923.1	1162231	1163590	1	EKN05_005865	yedV	CDS	heavy metal sensor histidine kinase
1138	CP037923.1	1163697	1164549	-1	EKN05_005870	hchA	CDS	protein deglycase HchA
1139	CP037923.1	1164594	1165292	-1	EKN05_005875	EKN05_005875	pseudo	IS1 family transposase
1140	CP037923.1	1165919	1166099	-1	EKN05_005880	EKN05_005880	pseudo	hypothetical protein
1141	CP037923.1	1166192	1167421	1	EKN05_005885	EKN05_005885	CDS	IS3 family transposase
1142	CP037923.1	1167429	1168194	-1	EKN05_005890	EKN05_005890	pseudo	hypothetical protein
1143	CP037923.1	1168259	1169407	1	EKN05_005895	EKN05_005895	CDS	IS3 family transposase
1144	CP037923.1	1169407	1169665	1	EKN05_005900	EKN05_005900	CDS	hypothetical protein
1145	CP037923.1	1169704	1170245	1	EKN05_005905	EKN05_005905	pseudo	phosphohydrolase
1146	CP037923.1	1170311	1171730	1	EKN05_005910	dcm	CDS	DNA cytosine methyltransferase
1147	CP037923.1	1171710	1172181	1	EKN05_005915	vsr	CDS	very short patch repair endonuclease
1148	CP037923.1	1172169	1173090	-1	EKN05_005920	yedA	CDS	drug/metabolite exporter YedA
1149	CP037923.1	1173262	1174180	1	EKN05_005925	EKN05_005925	CDS	DUF808 domain-containing protein
1150	CP037923.1	1174258	1174441	1	EKN05_005930	EKN05_005930	CDS	DUF2158 domain-containing protein
1151	CP037923.1	1174611	1176306	1	EKN05_005935	yedQ	pseudo	cellulose biosynthesis regulator YedQ
1152	CP037923.1	1176302	1177118	-1	EKN05_005940	EKN05_005940	pseudo	mannosyl-3-phosphoglycerate phosphatase-related protein
1153	CP037923.1	1177415	1177643	-1	EKN05_005945	yodD	CDS	peroxide/acid resistance protein YodD
1154	CP037923.1	1177630	1177819	1	EKN05_005950	EKN05_005950	CDS	hypothetical protein
1155	CP037923.1	1177751	1177994	1	EKN05_005955	dsrB	CDS	protein DsrB
1156	CP037923.1	1178037	1178661	-1	EKN05_005960	rcsA	CDS	transcriptional regulator RcsA
1157	CP037923.1	1178945	1179731	-1	EKN05_005965	fliR	CDS	flagellar type III secretion system protein FliR
1158	CP037923.1	1179739	1180009	-1	EKN05_005970	fliQ	CDS	flagellar biosynthesis protein FliQ
1159	CP037923.1	1180018	1180756	-1	EKN05_005975	fliP	CDS	flagellar type III secretion system pore protein FliP
1160	CP037923.1	1180755	1181121	-1	EKN05_005980	fliO	CDS	flagellar type III secretion system protein FliO
1161	CP037923.1	1181123	1181537	-1	EKN05_005985	fliN	CDS	flagellar motor switch protein FliN
1162	CP037923.1	1181533	1182538	-1	EKN05_005990	fliM	CDS	flagellar motor switch protein FliM
1163	CP037923.1	1182542	1183007	-1	EKN05_005995	fliL	CDS	flagellar basal body-associated protein FliL
1164	CP037923.1	1183111	1184239	-1	EKN05_006000	fliK	CDS	flagellar hook length control protein FliK
1165	CP037923.1	1184235	1184577	-1	EKN05_006005	fliJ	pseudo	flagella biosynthesis chaperone FliJ
1166	CP037923.1	1184598	1185972	-1	EKN05_006010	fliI	CDS	flagellum-specific ATP synthase FliI
1167	CP037923.1	1185971	1186658	-1	EKN05_006015	fliH	CDS	flagellar assembly protein FliH
1168	CP037923.1	1186650	1187646	-1	EKN05_006020	fliG	CDS	flagellar motor switch protein FliG
1169	CP037923.1	1187638	1189297	-1	EKN05_006025	fliF	pseudo	flagellar basal body M-ring protein FliF
1170	CP037923.1	1189510	1189825	1	EKN05_006030	fliE	CDS	flagellar hook-basal body complex protein FliE
1171	CP037923.1	1189744	1190070	-1	EKN05_006035	EKN05_006035	pseudo	integrase
1172	CP037923.1	1190169	1190469	1	EKN05_006040	emrE	CDS	EmrE family multidrug efflux SMR transporter
1173	CP037923.1	1190584	1191136	1	EKN05_006045	ybcL	CDS	Raf kinase inhibitor-like protein YbcL
1174	CP037923.1	1191145	1191943	1	EKN05_006050	ybcM	CDS	AraC family transcriptional regulator
1175	CP037923.1	1192143	1192257	1	EKN05_006055	EKN05_006055	CDS	antitermination protein
1176	CP037923.1	1192431	1193514	-1	EKN05_006060	nmpC	CDS	porin
1177	CP037923.1	1193841	1194457	-1	EKN05_006065	tnpA	pseudo	IS200/IS605 family transposase
1178	CP037923.1	1194524	1194698	1	EKN05_006070	EKN05_006070	CDS	DNA-binding protein
1179	CP037923.1	1194926	1195733	1	EKN05_006075	EKN05_006075	CDS	transposase
1180	CP037923.1	1195772	1196443	-1	EKN05_006080	EKN05_006080	pseudo	SOS response-associated peptidase
1181	CP037923.1	1196549	1196783	-1	EKN05_006085	yedF	CDS	putative sulfurtransferase YedF
1182	CP037923.1	1196779	1197985	-1	EKN05_006090	yedE	CDS	selenium metabolism membrane protein YedE/FdhT
1183	CP037923.1	1198171	1198585	1	EKN05_006095	EKN05_006095	CDS	lipoprotein
1184	CP037923.1	1198618	1200106	-1	EKN05_006100	amyA	CDS	alpha-amylase
1185	CP037923.1	1200183	1200549	-1	EKN05_006105	fliT	CDS	flagella biosynthesis regulatory protein FliT
1186	CP037923.1	1200548	1200959	-1	EKN05_006110	fliS	CDS	flagellar export chaperone FliS
1187	CP037923.1	1200983	1202390	-1	EKN05_006115	fliD	CDS	flagellar filament capping protein FliD
1188	CP037923.1	1202655	1204307	1	EKN05_006120	fliC	pseudo	FliC/FljB family flagellin
1189	CP037923.1	1204471	1205191	1	EKN05_006125	fliA	CDS	RNA polymerase sigma factor FliA
1190	CP037923.1	1205236	1205788	1	EKN05_006130	fliZ	CDS	flagella biosynthesis regulatory protein FliZ
1191	CP037923.1	1205875	1206676	1	EKN05_006135	tcyJ	CDS	cystine ABC transporter substrate-binding protein
1192	CP037923.1	1206780	1207767	1	EKN05_006140	dcyD	CDS	D-cysteine desulfhydrase
1193	CP037923.1	1207781	1208450	1	EKN05_006145	yecS	CDS	amino acid ABC transporter permease
1194	CP037923.1	1208446	1209199	1	EKN05_006150	yecC	CDS	L-cystine ABC transporter ATP-binding protein YecC
1195	CP037923.1	1209428	1210055	1	EKN05_006155	sdiA	CDS	transcriptional regulator SdiA
1196	CP037923.1	1210081	1210306	-1	EKN05_006160	EKN05_006160	CDS	DUF2594 family protein
1197	CP037923.1	1210292	1210469	-1	EKN05_006165	EKN05_006165	CDS	hypothetical protein
1198	CP037923.1	1210764	1211421	1	EKN05_006170	uvrY	CDS	two-component system response regulator UvrY
1199	CP037923.1	1211417	1213250	1	EKN05_006175	uvrC	CDS	excinuclease ABC subunit UvrC
1200	CP037923.1	1213306	1213855	1	EKN05_006180	pgsA	CDS	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
1201	CP037923.1	1214504	1215170	1	EKN05_006200	yecA	CDS	UPF0149 family protein YecA
1202	CP037923.1	1215231	1216443	-1	EKN05_006205	tyrP	CDS	tyrosine transporter TyrP
1203	CP037923.1	1216632	1216872	1	EKN05_006210	EKN05_006210	CDS	DUF2492 family protein
1204	CP037923.1	1216908	1217406	-1	EKN05_006215	ftnA	CDS	non-heme ferritin
1205	CP037923.1	1217576	1217900	-1	EKN05_006220	EKN05_006220	CDS	hypothetical protein
1206	CP037923.1	1218162	1218249	1	EKN05_006225	azuC	CDS	stress response protein AzuC
1207	CP037923.1	1218363	1218615	1	EKN05_006230	EKN05_006230	CDS	DUF2766 domain-containing protein
1208	CP037923.1	1218694	1219198	-1	EKN05_006235	yecI	CDS	non-heme ferritin-like protein
1209	CP037923.1	1219994	1220984	1	EKN05_006240	araF	CDS	arabinose ABC transporter substrate-binding protein
1210	CP037923.1	1221053	1222563	1	EKN05_006245	araG	pseudo	L-arabinose ABC transporter ATP-binding protein AraG
1211	CP037923.1	1222577	1223564	1	EKN05_006250	araH	CDS	arabinose ABC transporter permease
1212	CP037923.1	1223730	1224531	1	EKN05_006255	otsB	CDS	trehalose-phosphatase
1213	CP037923.1	1224505	1225920	1	EKN05_006260	otsA	pseudo	alpha
1214	CP037923.1	1225926	1226355	-1	EKN05_006265	uspC	CDS	universal stress protein UspC
1215	CP037923.1	1227137	1227488	1	EKN05_006270	flhD	pseudo	flagellar transcriptional regulator FlhD
1216	CP037923.1	1227490	1228069	1	EKN05_006275	flhC	CDS	flagellar transcriptional regulator FlhC
1217	CP037923.1	1228195	1229083	1	EKN05_006280	motA	CDS	flagellar motor stator protein MotA
1218	CP037923.1	1229079	1230006	1	EKN05_006285	motB	CDS	motility protein MotB
1219	CP037923.1	1230010	1231975	1	EKN05_006290	cheA	CDS	chemotaxis protein CheA
1220	CP037923.1	1231995	1232499	1	EKN05_006295	cheW	CDS	chemotaxis protein CheW
1221	CP037923.1	1232643	1234305	1	EKN05_006300	tar	CDS	methyl-accepting chemotaxis protein II
1222	CP037923.1	1234350	1235952	1	EKN05_006305	tap	CDS	methyl-accepting chemotaxis protein IV
1223	CP037923.1	1235970	1236831	1	EKN05_006310	cheR	CDS	protein-glutamate O-methyltransferase CheR
1224	CP037923.1	1236833	1237883	1	EKN05_006315	cheB	CDS	chemotaxis response regulator protein-glutamate methylesterase
1225	CP037923.1	1237897	1238287	1	EKN05_006320	cheY	CDS	two-component system response regulator
1226	CP037923.1	1238297	1238942	1	EKN05_006325	cheZ	CDS	protein phosphatase CheZ
1227	CP037923.1	1239029	1239434	-1	EKN05_006330	EKN05_006330	CDS	hypothetical protein
1228	CP037923.1	1239398	1239477	1	EKN05_006335	EKN05_006335	pseudo	LysR family transcriptional regulator
1229	CP037923.1	1239445	1240602	-1	EKN05_006340	EKN05_006340	CDS	IS3 family transposase
1230	CP037923.1	1240653	1241049	-1	EKN05_006345	EKN05_006345	CDS	hypothetical protein
1231	CP037923.1	1241156	1242358	1	EKN05_006350	EKN05_006350	CDS	IS3 family transposase
1232	CP037923.1	1242292	1242751	-1	EKN05_006355	EKN05_006355	CDS	HD domain-containing protein
1233	CP037923.1	1242986	1244133	1	EKN05_006360	flhB	pseudo	flagellar type III secretion system protein FlhB
1234	CP037923.1	1244125	1246203	1	EKN05_006365	flhA	pseudo	flagellar biosynthesis protein FlhA
1235	CP037923.1	1246202	1246541	1	EKN05_006370	flhE	CDS	flagellar protein FlhE
1236	CP037923.1	1246592	1247802	1	EKN05_006375	EKN05_006375	pseudo	IS3 family transposase
1237	CP037923.1	1247835	1247904	1	EKN05_006380	EKN05_006380	pseudo	flagellar protein FlhE
1238	CP037923.1	1248021	1248510	-1	EKN05_006385	EKN05_006385	CDS	lysozyme inhibitor LprI family protein
1239	CP037923.1	1248686	1250420	-1	EKN05_006390	argS	CDS	arginine--tRNA ligase
1240	CP037923.1	1250635	1251202	1	EKN05_006395	EKN05_006395	CDS	VOC family protein
1241	CP037923.1	1251215	1251962	1	EKN05_006400	cutC	CDS	copper homeostasis protein CutC
1242	CP037923.1	1252349	1253450	1	EKN05_006405	yecK	CDS	cytochrome C
1243	CP037923.1	1253474	1254794	1	EKN05_006410	EKN05_006410	pseudo	twin-arginine translocation signal domain-containing protein
1244	CP037923.1	1254804	1256078	-1	EKN05_006415	EKN05_006415	CDS	IS3-like element IS2 family transposase
1245	CP037923.1	1256124	1257240	1	EKN05_006420	EKN05_006420	pseudo	trimethylamine-N-oxide reductase TorA
1246	CP037923.1	1257404	1258376	-1	EKN05_006425	cmoB	CDS	tRNA 5-methoxyuridine(34)/uridine 5-oxyacetic acid(34) synthase CmoB
1247	CP037923.1	1258372	1259116	-1	EKN05_006430	cmoA	CDS	carboxy-S-adenosyl-L-methionine synthase CmoA
1248	CP037923.1	1259156	1259552	-1	EKN05_006435	EKN05_006435	CDS	hypothetical protein
1249	CP037923.1	1259604	1259955	-1	EKN05_006440	EKN05_006440	CDS	DUF72 domain-containing protein
1250	CP037923.1	1260045	1260879	1	EKN05_006445	EKN05_006445	CDS	hypothetical protein
1251	CP037923.1	1262697	1262940	-1	EKN05_006450	EKN05_006450	CDS	hypothetical protein
1252	CP037923.1	1263221	1263777	1	EKN05_006455	EKN05_006455	pseudo	hypothetical protein
1253	CP037923.1	1263778	1264066	1	EKN05_006460	EKN05_006460	CDS	hypothetical protein
1254	CP037923.1	1264065	1264281	1	EKN05_006465	EKN05_006465	CDS	hypothetical protein
1255	CP037923.1	1264277	1264565	1	EKN05_006470	EKN05_006470	CDS	HNH endonuclease
1256	CP037923.1	1264722	1265031	1	EKN05_006475	EKN05_006475	CDS	hypothetical protein
1257	CP037923.1	1265577	1266289	1	EKN05_006480	EKN05_006480	pseudo	transposase
1258	CP037923.1	1266312	1266522	1	EKN05_006485	EKN05_006485	CDS	hypothetical protein
1259	CP037923.1	1266758	1268798	1	EKN05_006490	EKN05_006490	CDS	phage tail tape measure protein
1260	CP037923.1	1268894	1269668	1	EKN05_006495	EKN05_006495	CDS	hypothetical protein
1261	CP037923.1	1269719	1270728	1	EKN05_006500	EKN05_006500	pseudo	IS3 family transposase
1262	CP037923.1	1270774	1271931	-1	EKN05_006505	EKN05_006505	CDS	IS3 family transposase
1263	CP037923.1	1272134	1272494	1	EKN05_006510	EKN05_006510	CDS	RusA family crossover junction endodeoxyribonuclease
1264	CP037923.1	1272490	1273180	1	EKN05_006515	EKN05_006515	CDS	antiterminator
1265	CP037923.1	1273999	1274190	1	EKN05_006540	EKN05_006540	pseudo	hypothetical protein
1266	CP037923.1	1274364	1275561	-1	EKN05_006545	EKN05_006545	CDS	IS110 family transposase
1267	CP037923.1	1275824	1276226	1	EKN05_006550	EKN05_006550	CDS	DNA-packaging protein FI
1268	CP037923.1	1276237	1276609	1	EKN05_006555	EKN05_006555	CDS	phage tail protein
1269	CP037923.1	1276595	1277183	1	EKN05_006560	EKN05_006560	CDS	phage tail protein
1270	CP037923.1	1277179	1277581	1	EKN05_006565	EKN05_006565	CDS	phage tail protein
1271	CP037923.1	1277591	1278332	1	EKN05_006570	EKN05_006570	CDS	phage tail protein
1272	CP037923.1	1278390	1278777	1	EKN05_006575	EKN05_006575	CDS	phage minor tail protein G
1273	CP037923.1	1278785	1279115	1	EKN05_006580	EKN05_006580	CDS	phage tail assembly protein T
1274	CP037923.1	1279086	1282129	1	EKN05_006585	EKN05_006585	pseudo	phage tail tape measure protein
1275	CP037923.1	1282128	1283070	1	EKN05_006590	EKN05_006590	CDS	phage minor tail protein L
1276	CP037923.1	1283074	1283818	1	EKN05_006595	EKN05_006595	CDS	phage tail protein
1277	CP037923.1	1283715	1284357	1	EKN05_006600	EKN05_006600	CDS	tail assembly protein
1278	CP037923.1	1284417	1287897	1	EKN05_006605	EKN05_006605	CDS	host specificity protein J
1279	CP037923.1	1287964	1288564	1	EKN05_006610	EKN05_006610	CDS	Ail/Lom family protein
1280	CP037923.1	1288627	1290043	1	EKN05_006615	EKN05_006615	CDS	phage tail protein
1281	CP037923.1	1289993	1290617	1	EKN05_006620	EKN05_006620	CDS	DUF4376 domain-containing protein
1282	CP037923.1	1290616	1290796	1	EKN05_006625	EKN05_006625	CDS	hypothetical protein
1283	CP037923.1	1290796	1292548	-1	EKN05_006630	ipaH_3	CDS	E3 ubiquitin--protein ligase
1284	CP037923.1	1293059	1293150	1	EKN05_006635	EKN05_006635	pseudo	capsid protein
1285	CP037923.1	1293146	1293395	-1	EKN05_006640	EKN05_006640	CDS	DinI family protein
1286	CP037923.1	1293749	1294097	-1	EKN05_006645	EKN05_006645	pseudo	hydrolase
1287	CP037923.1	1294123	1295320	-1	EKN05_006650	EKN05_006650	CDS	IS110 family transposase
1288	CP037923.1	1295511	1295766	-1	EKN05_006655	EKN05_006655	CDS	isochorismatase family protein
1289	CP037923.1	1296075	1297848	1	EKN05_006660	aspS	CDS	aspartate--tRNA ligase
1290	CP037923.1	1297965	1298418	1	EKN05_006665	nudB	CDS	dihydroneopterin triphosphate diphosphatase
1291	CP037923.1	1298446	1299187	1	EKN05_006670	EKN05_006670	CDS	YebC/PmpR family DNA-binding transcriptional regulator
1292	CP037923.1	1299221	1299743	1	EKN05_006675	ruvC	CDS	crossover junction endodeoxyribonuclease RuvC
1293	CP037923.1	1299744	1300347	-1	EKN05_006680	EKN05_006680	CDS	YebB family permuted papain-like enzyme
1294	CP037923.1	1300416	1300482	1	EKN05_006685	EKN05_006685	CDS	hypothetical protein
1295	CP037923.1	1300620	1301232	1	EKN05_006690	ruvA	CDS	Holliday junction branch migration protein RuvA
1296	CP037923.1	1301240	1302251	1	EKN05_006695	ruvB	CDS	Holliday junction branch migration DNA helicase RuvB
1297	CP037923.1	1302397	1303183	-1	EKN05_006700	znuB	CDS	zinc ABC transporter permease subunit ZnuB
1298	CP037923.1	1303179	1303935	-1	EKN05_006705	znuC	CDS	zinc ABC transporter ATP-binding protein ZnuC
1299	CP037923.1	1304013	1304946	1	EKN05_006710	znuA	CDS	zinc ABC transporter substrate-binding protein ZnuA
1300	CP037923.1	1304961	1306284	1	EKN05_006715	mepM	CDS	murein DD-endopeptidase MepM
1301	CP037923.1	1306403	1307375	1	EKN05_006720	msbB	CDS	lauroyl-Kdo(2)-lipid IV(A) myristoyltransferase
1302	CP037923.1	1307505	1308948	-1	EKN05_006725	pyk	CDS	pyruvate kinase
1303	CP037923.1	1309075	1309944	-1	EKN05_006730	yebK	pseudo	MurR/RpiR family transcriptional regulator
1304	CP037923.1	1310280	1311756	1	EKN05_006735	zwf	CDS	glucose-6-phosphate dehydrogenase
1305	CP037923.1	1311990	1313802	1	EKN05_006740	edd	CDS	phosphogluconate dehydratase
1306	CP037923.1	1313838	1314480	1	EKN05_006745	eda	CDS	KHG/KDPG aldolase
1307	CP037923.1	1314535	1315714	-1	EKN05_006750	purT	CDS	formate-dependent phosphoribosylglycinamide formyltransferase
1308	CP037923.1	1315847	1316138	1	EKN05_006755	yebG	pseudo	DNA damage-inducible protein YebG
1309	CP037923.1	1316204	1316561	1	EKN05_006760	yebF	CDS	protein YebF
1310	CP037923.1	1316887	1317547	1	EKN05_006765	EKN05_006765	CDS	tellurite resistance TerB family protein
1311	CP037923.1	1317755	1319816	1	EKN05_006770	ptrB	CDS	oligopeptidase B
